('8B101-01_9-30-21_181A_F3-01-001', )  (3.423850112682757, )
('8B101-01_9-30-21_181A_F6-01-004', )  (3.392663174413957, )
('8B101-01_9-30-21_181A_F7-01-005', )  (3.416840504727394, )
('8B101-01_9-30-21_181A_G1-01-009', )  (3.412281271895125, )
('8B101-01_9-30-21_181A_G10-01-018', )  (3.431766038164732, )
('8B101-01_9-30-21_181A_G2-01-010', )  (3.396624836531458, )
('8B101-01_9-30-21_181A_G3-01-011', )  (3.404091353246571, )
('8B101-01_9-30-21_181A_G4-01-012', )  (3.412001287499441, )
('8B101-01_9-30-21_181A_G5-01-013', )  (3.426364796072924, )
('8B101-01_9-30-21_181A_G6-01-014', )  (3.381276986888408, )
('8B101-01_9-30-21_181A_G8-01-016', )  (3.400028562037496, )
('8B101-01_9-30-21_181A_G9-01-017', )  (3.392326225639184, )
***************** Print date **************** 
